ID,Year,Mileage,Price
"/tweedehands/ford/b-max/38721148",2013,56627,12950
"/tweedehands/ford/fiesta/38720897",2011,55162,6950
"/tweedehands/ford/focus/38719380",2013,68595,12940
"/tweedehands/ford/focus/38717880",2013,123793,8499
"/tweedehands/ford/fiesta/38717276",2015,49100,10300
"/tweedehands/ford/focus/38716915",2013,128929,8400
"/tweedehands/ford/ka/38716523",2011,162000,5400
"/tweedehands/ford/fiesta/38716150",2010,55914,7880
"/tweedehands/ford/fiesta/38716142",2012,49793,8440
"/tweedehands/ford/focus/38714870",2013,169796,8950
"/tweedehands/ford/focus/38714630",2013,150749,7888
"/tweedehands/ford/focus/38714512",2013,121053,7900
"/tweedehands/ford/ecosport/38714206",2016,15010,20400
"/tweedehands/ford/focus/38714099",2017,14561,23400
"/tweedehands/ford/focus/38714085",2016,26648,20750
"/tweedehands/ford/kuga/38714023",2017,10025,29950
"/tweedehands/ford/ka/38713977",2010,77582,5900
"/tweedehands/ford/fiesta/38713928",2017,2000,21445
"/tweedehands/ford/fiesta/38713810",2016,8026,16845
"/tweedehands/ford/focus/38713619",2017,21032,17950
"/tweedehands/ford/ka/38713265",2011,87749,5000
"/tweedehands/ford/focus/38713506",2017,6205,21950
"/tweedehands/ford/kuga/38713500",2017,7423,39950
"/tweedehands/ford/b-max/38713353",2017,12436,19400
"/tweedehands/ford/focus/38713326",2014,67490,15450
"/tweedehands/ford/focus/38713203",2013,92578,11300
"/tweedehands/ford/focus/38713013",2013,147033,9999
"/tweedehands/ford/fiesta/38712997",2016,25601,15950
"/tweedehands/ford/transit/38712727",2014,46036,17965
"/tweedehands/ford/transit-connect/38712573",2013,59129,5250
"/tweedehands/ford/focus/38712454",2010,107210,8985
"/tweedehands/ford/focus/38712380",2014,68923,14950
"/tweedehands/ford/ka/38712140",2012,81394,7990
"/tweedehands/ford/fiesta/38712039",2011,45280,9765
"/tweedehands/ford/focus/38712036",2014,51182,14995
"/tweedehands/ford/focus/38711855",2014,75629,16985
"/tweedehands/ford/focus/38711838",2010,80603,9250
"/tweedehands/ford/focus/38711825",2016,51345,19995
"/tweedehands/ford/focus/38711707",2015,31743,16425
"/tweedehands/ford/ka/38711431",2011,34118,5750
"/tweedehands/ford/mondeo/38711401",2012,64682,16965
"/tweedehands/ford/focus/38710950",2011,149706,8499
"/tweedehands/ford/ka/38710883",2012,87415,5990
"/tweedehands/ford/kuga/38710416",2014,38886,24995
"/tweedehands/ford/fiesta/38710313",2014,59138,10945
"/tweedehands/ford/c-max/38710292",2014,24889,19995
"/tweedehands/ford/focus/38710196",2016,21218,20900
"/tweedehands/ford/fiesta/38709986",2012,62284,7695
"/tweedehands/ford/focus/38709851",2013,134043,11950
"/tweedehands/ford/c-max/38709745",2013,82454,14950
"/tweedehands/ford/c-max/38709666",2011,28211,13450
"/tweedehands/ford/s-max/38709459",2011,160216,16950
"/tweedehands/ford/focus/38709401",2013,82491,12950
"/tweedehands/ford/c-max/38709392",2014,22139,16495
"/tweedehands/ford/fiesta/38709350",2012,131108,8250
"/tweedehands/ford/transit/38709229",2014,74442,14250
"/tweedehands/ford/mondeo/38708995",2013,256838,9945
"/tweedehands/ford/ka/38708950",2011,31545,6450
"/tweedehands/ford/c-max/38708947",2014,56493,19475
"/tweedehands/ford/focus/38708911",2014,104520,13945
"/tweedehands/ford/fiesta/38708783",2016,23316,11400
"/tweedehands/ford/mondeo/38708778",2011,109802,10950
"/tweedehands/ford/ecosport/38708515",2017,9825,20950
"/tweedehands/ford/fiesta/38708490",2016,31769,13495
"/tweedehands/ford/galaxy/38708443",2016,53753,33470
"/tweedehands/ford/fiesta/38708430",2014,93481,9200
"/tweedehands/ford/edge/38708384",2017,28141,59945
"/tweedehands/ford/focus/38708287",2010,77082,9150
"/tweedehands/ford/fiesta/38708193",2011,82258,7495
"/tweedehands/ford/b-max/38708169",2013,68688,12945
"/tweedehands/ford/transit-connect/38707812",2017,10,20990
"/tweedehands/ford/ka/38707708",2010,134401,4400
"/tweedehands/ford/mondeo/38707649",2013,155316,9950
"/tweedehands/ford/transit-custom/38707618",2017,10,20340
"/tweedehands/ford/fiesta/38707322",2014,26766,11750
"/tweedehands/ford/transit-custom/38706996",2017,10,22720
"/tweedehands/ford/focus/38706480",2013,112339,9900
"/tweedehands/ford/fiesta/38706110",2011,137717,5250
"/tweedehands/ford/ecosport/38706037",2017,11698,14950
"/tweedehands/ford/fiesta/38705994",2014,63466,11450
"/tweedehands/ford/focus/38705421",2012,117044,10850
"/tweedehands/ford/fiesta/38705331",2018,30,19950
"/tweedehands/ford/fiesta/38704758",2011,98305,6950
"/tweedehands/ford/transit-custom/38704567",2014,51310,22900
"/tweedehands/ford/ka/38704416",2010,41291,6450
"/tweedehands/ford/mondeo/38704344",2015,185610,14900
"/tweedehands/ford/kuga/38701867",2017,6656,26950
"/tweedehands/ford/focus/38701590",2012,145560,7950
"/tweedehands/ford/mondeo/38701528",2013,166631,10950
"/tweedehands/ford/ka/38700944",2011,66674,6600
"/tweedehands/ford/fiesta/38700221",2012,134127,6950
"/tweedehands/ford/b-max/38700095",2016,8658,17850
"/tweedehands/ford/ka/38700061",2011,74139,6949
"/tweedehands/ford/focus/38699953",2013,136444,8950
"/tweedehands/ford/transit-connect/38699918",2013,95816,5750
"/tweedehands/ford/b-max/38699785",2014,40420,14495
"/tweedehands/ford/fiesta/38699585",2011,71828,8950
"/tweedehands/ford/ka/38699427",2011,20912,5750
"/tweedehands/ford/fiesta/38699395",2014,62605,10999
"/tweedehands/ford/fiesta/38699368",2015,33912,10750
"/tweedehands/ford/focus/38699289",2012,171592,6450
"/tweedehands/ford/focus/38699249",2012,96742,11445
"/tweedehands/ford/mondeo/38699246",2011,241446,8450
"/tweedehands/ford/fiesta/38699200",2015,32942,10250
"/tweedehands/ford/focus/38699154",2015,75788,14950
"/tweedehands/ford/c-max/38699079",2010,159191,6495
"/tweedehands/ford/fiesta/38698965",2016,51669,10750
"/tweedehands/ford/focus/38698932",2014,51557,11900
"/tweedehands/ford/fiesta/38698908",2013,21768,11995
"/tweedehands/ford/fiesta/38698901",2011,115886,9975
"/tweedehands/ford/fiesta/38698839",2016,8021,15950
"/tweedehands/ford/focus/38698733",2012,132681,12749
"/tweedehands/ford/fiesta/38698688",2013,100567,12950
"/tweedehands/ford/focus/38698589",2013,115130,10350
"/tweedehands/ford/fiesta/38698580",2012,33992,8595
"/tweedehands/ford/focus/38698559",2014,40427,14995
"/tweedehands/ford/ka/38698552",2010,75284,4950
"/tweedehands/ford/fiesta/38698355",2011,76685,7295
"/tweedehands/ford/fiesta/38698328",2013,117196,9995
"/tweedehands/ford/fiesta/38698293",2015,91768,10495
"/tweedehands/ford/focus/38698285",2012,129922,14990
"/tweedehands/ford/transit-connect/38698140",2014,68874,10950
"/tweedehands/ford/focus/38698096",2013,156023,10250
"/tweedehands/ford/focus/38698049",2010,137018,6949
"/tweedehands/ford/c-max/38698045",2013,111923,17750
"/tweedehands/ford/focus/38698000",2017,19036,22990
"/tweedehands/ford/focus/38697870",2013,156714,7945
"/tweedehands/ford/fiesta/38697675",2016,33637,13900
"/tweedehands/ford/fiesta/38697652",2010,16494,8450
"/tweedehands/ford/fiesta/38697249",2016,34972,14900
"/tweedehands/ford/b-max/38697124",2014,86470,13495
"/tweedehands/ford/fiesta/38697006",2015,16436,13880
"/tweedehands/ford/focus/38696916",2013,134702,10850
"/tweedehands/ford/grand-c-max/38696879",2014,16777,18995
"/tweedehands/ford/galaxy/38696874",2016,61167,30845
"/tweedehands/ford/focus/38696820",2012,228897,6445
"/tweedehands/ford/b-max/38696737",2015,22908,16495
"/tweedehands/ford/focus/38696333",2013,70366,13450
"/tweedehands/ford/fiesta/38696317",2015,22721,10995
"/tweedehands/ford/focus/38696256",2012,137362,8949
"/tweedehands/ford/fiesta/38696034",2013,168510,6440
"/tweedehands/ford/fiesta/38695876",2010,92591,7880
"/tweedehands/ford/fiesta/38695680",2010,117500,8250
"/tweedehands/ford/transit-custom/38695238",2015,68597,16485
"/tweedehands/ford/c-max/38695067",2014,81842,15750
"/tweedehands/ford/transit-custom/38695064",2016,13197,19485
"/tweedehands/ford/ka/38695062",2011,49144,5645
