link,year,mileage,price
"/a/opel-agila-benzine-2007-49586345",2007,126033,2250
"/a/opel-agila-benzine-2007-49584834",2007,69400,2600
"/a/opel-agila-benzine-2012-49584149",2012,64467,5900
"/a/opel-agila-aardgas-2010-49583852",2010,150494,4950
"/a/opel-agila-benzine-2011-49583784",2011,47240,4940
"/a/opel-agila-benzine-2005-49583623",2005,156464,1450
"/a/opel-agila-benzine-2000-49582578",2000,115654,999
"/a/opel-agila-benzine-2010-49582345",2010,81611,3999
"/a/opel-agila-benzine-2007-49579217",2007,248814,950
"/a/opel-agila-benzine-2013-49578862",2013,22252,11450
"/a/opel-agila-benzine-2011-49578276",2011,15320,7950
"/a/opel-agila-lpg-2010-49578067",2010,100627,6750
"/a/opel-agila-benzine-2014-49577253",2014,64080,6750
"/a/opel-agila-benzine-2005-49575440",2005,230899,1250
"/a/opel-agila-benzine-2009-49574794",2009,53978,4950
"/a/opel-agila-benzine-2007-49574682",2007,52475,3750
"/a/opel-agila-benzine-2005-49574670",2005,127528,1400
"/a/opel-agila-benzine-2002-49572928",2002,122677,750
"/a/opel-agila-benzine-2013-49573295",2013,90447,6250
"/a/opel-agila-benzine-2010-49573167",2010,73013,6895
"/a/opel-agila-benzine-2003-49572899",2003,72563,1945
"/a/opel-agila-benzine-2011-49569885",2011,82090,5450
"/a/opel-agila-benzine-2010-49569095",2010,64023,5750
"/a/opel-agila-benzine-2005-49569001",2005,149525,1995
"/a/opel-agila-benzine-2012-49568955",2012,5729,9625
"/a/opel-agila-benzine-2002-49567141",2002,53154,1950
"/a/opel-agila-benzine-2004-49565421",2004,202782,750
"/a/opel-agila-benzine-2013-49564482",2013,15594,9950
"/a/opel-agila-benzine-2011-49564002",2011,119899,5450
"/a/opel-agila-benzine-2004-49563462",2004,63759,2450
"/a/opel-agila-benzine-2007-49562855",2007,39169,1950
"/a/opel-agila-benzine-2010-49561675",2010,142101,3950
"/a/opel-agila-benzine-2004-49561662",2004,72566,1640
"/a/opel-agila-benzine-2012-49561265",2012,38460,6495
"/a/opel-agila-benzine-2001-49560322",2001,243051,999
"/a/opel-agila-benzine-2008-49559446",2008,72004,3945
"/a/opel-agila-benzine-2011-49558347",2011,53606,6450
"/a/opel-agila-benzine-2004-49558155",2004,274645,1095
"/a/opel-agila-benzine-2001-49558003",2001,217000,749
"/a/opel-agila-benzine-2011-49557100",2011,92537,3950
"/a/opel-agila-benzine-2004-49556499",2004,39627,3250
"/a/opel-agila-benzine-2007-49556284",2007,146057,1499
"/a/opel-agila-benzine-2004-49555113",2004,219035,1450
"/a/opel-agila-benzine-2001-49555071",2001,94946,1495
"/a/opel-agila-benzine-2010-49553815",2010,92876,6950
"/a/opel-agila-benzine-2012-49553771",2012,134187,5250
"/a/opel-agila-benzine-2005-49553295",2005,195074,1495
"/a/opel-agila-benzine-2009-49552455",2009,166311,3750
"/a/opel-agila-benzine-2008-49552042",2008,90000,4950
"/a/opel-agila-benzine-2009-49551396",2009,47060,5250
"/a/opel-agila-benzine-2008-49550777",2008,95745,4950
"/a/opel-agila-benzine-2012-49549735",2012,43266,6845
"/a/opel-agila-benzine-2015-49547534",2015,54784,7000
"/a/opel-agila-benzine-2002-49547208",2002,97173,1250
"/a/opel-agila-benzine-2002-49545825",2002,162396,999
"/a/opel-agila-benzine-2012-49544642",2012,92060,4444
"/a/opel-agila-benzine-2003-49542306",2003,120245,999
"/a/opel-agila-benzine-2001-49539378",2001,158911,799
"/a/opel-agila-benzine-2003-49539171",2003,290575,1550
"/a/opel-agila-benzine-2008-49536895",2008,85765,3950
"/a/opel-agila-benzine-2015-49535011",2015,35138,8445
"/a/opel-agila-benzine-2009-49534547",2009,71609,5300
"/a/opel-agila-benzine-2003-49534271",2003,133141,1998
"/a/opel-agila-benzine-2008-49533834",2008,96563,3950
"/a/opel-agila-benzine-2013-49533229",2013,59543,9750
"/a/opel-agila-benzine-2001-49530293",2001,143793,799
"/a/opel-agila-benzine-2008-49530168",2008,138068,1990
"/a/opel-agila-benzine-2010-49529431",2010,125167,3999
"/a/opel-agila-benzine-2011-49524415",2011,184882,4995
"/a/opel-agila-benzine-2013-49524286",2013,73189,9850
"/a/opel-agila-benzine-2002-49523146",2002,75163,2450
"/a/opel-agila-benzine-2002-49521696",2002,188056,1250
"/a/opel-agila-benzine-2010-49516559",2010,101419,5950
"/a/opel-agila-benzine-2010-49516556",2010,66197,6950
"/a/opel-agila-benzine-2014-49511053",2014,22609,8450
"/a/opel-agila-benzine-2005-49510793",2005,51115,2500
"/a/opel-agila-benzine-2014-49509667",2014,166218,4950
"/a/opel-agila-benzine-2015-49509362",2015,33200,7750
"/a/opel-agila-benzine-2008-49505981",2008,49350,4945
"/a/opel-agila-benzine-2012-49505877",2012,53198,9450
"/a/opel-agila-benzine-2003-49505576",2003,92892,1950
"/a/opel-agila-benzine-2011-49505386",2011,156060,3950
"/a/opel-agila-benzine-2007-49504684",2007,114203,2190
"/a/opel-agila-benzine-2012-49501430",2012,43197,6425
"/a/opel-agila-benzine-2006-49500450",2006,66220,2750
"/a/opel-agila-benzine-2010-49500342",2010,74179,5840
"/a/opel-agila-benzine-2001-49498316",2001,241496,899
"/a/opel-agila-benzine-2008-49497126",2008,34517,7250
"/a/opel-agila-benzine-2014-49496571",2014,58961,7445
"/a/opel-agila-benzine-2011-49496080",2011,76176,4995
"/a/opel-agila-benzine-2007-49496045",2007,104897,2950
"/a/opel-agila-benzine-2012-49495326",2012,18342,10450
"/a/opel-agila-benzine-2012-49492487",2012,112954,5950
"/a/opel-agila-benzine-2004-49491050",2004,113403,1650
"/a/opel-agila-benzine-2014-49490340",2014,46452,8300
"/a/opel-agila-benzine-2005-49489912",2005,129995,1945
"/a/opel-agila-benzine-2002-49489106",2002,168426,499
"/a/opel-agila-benzine-2004-49488370",2004,139843,1750
"/a/opel-agila-benzine-2006-49487898",2006,100021,2650
"/a/opel-agila-benzine-2008-49487614",2008,79776,4450
"/a/opel-agila-benzine-2011-49487546",2011,72068,6399
"/a/opel-agila-benzine-2004-49483984",2004,171890,1500
"/a/opel-agila-benzine-2002-49483562",2002,205068,900
"/a/opel-agila-benzine-2003-49482394",2003,73100,1899
"/a/opel-agila-benzine-2008-49481814",2008,95421,3975
"/a/opel-agila-benzine-2000-49481131",2000,229331,995
"/a/opel-agila-benzine-2012-49479032",2012,56347,5949
"/a/opel-agila-benzine-2014-49478799",2014,73141,10385
"/a/opel-agila-benzine-2005-49477998",2005,28647,1850
"/a/opel-agila-benzine-2010-49477098",2010,163753,3495
"/a/opel-agila-benzine-2012-49475054",2012,52782,5950
"/a/opel-agila-benzine-2003-49474940",2003,122585,1750
"/a/opel-agila-benzine-2014-49474239",2014,27736,7950
"/a/opel-agila-benzine-2004-49471385",2004,178713,1500
"/a/opel-agila-benzine-2008-49469173",2008,74846,4250
"/a/opel-agila-benzine-2000-49467491",2000,197310,1295
"/a/opel-agila-benzine-2013-49462884",2013,44933,6700
"/a/opel-agila-benzine-2014-49458928",2014,67209,6925
"/a/opel-agila-benzine-2012-49458923",2012,64376,6750
"/a/opel-agila-benzine-2001-49454617",2001,183000,1995
"/a/opel-agila-benzine-2012-49443283",2012,14281,8950
"/a/opel-agila-benzine-2014-49442069",2014,24424,7450
"/a/opel-agila-benzine-2012-49441808",2012,50966,5950
"/a/opel-agila-benzine-2013-49440665",2013,167479,8950
"/a/opel-agila-benzine-2014-49439953",2014,41759,7200
"/a/opel-agila-benzine-2001-49439450",2001,143406,999
"/a/opel-agila-benzine-2005-49438477",2005,132597,2250
"/a/opel-agila-benzine-2008-49437430",2008,82468,4245
"/a/opel-agila-benzine-2001-49435907",2001,165065,1250
"/a/opel-agila-benzine-2009-49432562",2009,208336,2909
"/a/opel-agila-benzine-2005-49432121",2005,121680,1995
"/a/opel-agila-benzine-2002-49432052",2002,163765,1250
"/a/opel-agila-benzine-2009-49426606",2009,99261,3800
"/a/opel-agila-benzine-2000-49424288",2000,97539,1450
"/a/opel-agila-benzine-2013-49412511",2013,41513,7950
"/a/opel-agila-benzine-2003-49408315",2003,156653,1450
"/a/opel-agila-benzine-2014-49406097",2014,106188,6250
"/a/opel-agila-benzine-2011-49405592",2011,45779,5995
"/a/opel-agila-benzine-2012-49398118",2012,50772,9750
"/a/opel-agila-benzine-2013-49390371",2013,74914,8450
"/a/opel-agila-benzine-2014-49389969",2014,31388,10950
"/a/opel-agila-benzine-2005-49389427",2005,180347,1495
"/a/opel-agila-benzine-2001-49387058",2001,116791,650
"/a/opel-agila-benzine-2011-49375854",2011,99998,4900
"/a/opel-agila-benzine-2010-49375387",2010,83243,5950
"/a/opel-agila-benzine-2003-49372598",2003,91211,2450
"/a/opel-agila-benzine-2012-49370840",2012,97509,4945
"/a/opel-agila-benzine-2013-49368525",2013,87547,6944
"/a/opel-agila-benzine-2002-49356739",2002,204003,1445
"/a/opel-agila-benzine-2014-49327739",2014,73005,7990
"/a/opel-agila-benzine-2004-49326174",2004,165602,1750
"/a/opel-agila-benzine-2012-49317377",2012,112982,4695
"/a/opel-agila-lpg-2009-49305868",2009,111681,2998
"/a/opel-agila-benzine-2012-49305512",2012,73022,5925
"/a/opel-agila-benzine-2011-49305429",2011,39670,9450
"/a/opel-agila-benzine-2001-41924494",2001,91000,1750
"/a/opel-agila-benzine-2010-49286729",2010,92524,5940
"/a/opel-agila-benzine-2006-49285454",2006,144286,2498
"/a/opel-agila-benzine-2011-49285354",2011,78277,4450
"/a/opel-agila-benzine-2015-49284904",2015,37414,8945
"/a/opel-agila-benzine-2002-49284070",2002,133791,1475
"/a/opel-agila-benzine-2011-49284011",2011,43815,8950
"/a/opel-agila-benzine-2001-49265480",2001,245549,1350
"/a/opel-agila-benzine-2004-49264620",2004,84450,1450
"/a/opel-agila-benzine-2011-49264554",2011,99227,4945
"/a/opel-agila-benzine-2011-49261072",2011,49568,6450
"/a/opel-agila-benzine-2008-49252686",2008,63732,5750
"/a/opel-agila-benzine-2012-49250658",2012,94403,4950
"/a/opel-agila-benzine-2003-49249874",2003,183872,1950
"/a/opel-agila-benzine-2008-49245178",2008,119320,3499
"/a/opel-agila-benzine-2013-49243551",2013,65060,10400
"/a/opel-agila-benzine-2010-49242235",2010,91840,4950
"/a/opel-agila-benzine-2009-49235068",2009,170163,3950
"/a/opel-agila-benzine-2014-49230341",2014,41877,6700
"/a/opel-agila-benzine-2003-49229900",2003,69527,1495
"/a/opel-agila-benzine-2012-49226737",2012,94290,3950
"/a/opel-agila-benzine-2002-49207733",2002,116290,799
"/a/opel-agila-benzine-2014-49207194",2014,18703,12495
"/a/opel-agila-benzine-2015-49205682",2015,89273,7440
"/a/opel-agila-benzine-2010-49199800",2010,45712,8250
"/a/opel-agila-benzine-2011-49199128",2011,101877,7495
"/a/opel-agila-lpg-2010-49195623",2010,222621,2999
"/a/opel-agila-benzine-2013-49191558",2013,51864,7150
"/a/opel-agila-benzine-2005-49191232",2005,57632,2950
